¦¤mBi,¦¤mW,¦¤mO
-3.290880172,-9.05512599,-0.032185611
-3.28103883,-9.075386162,-0.032089363
-3.271197487,-9.095646334,-0.031993115
-3.261356145,-9.115906506,-0.031896867
-3.251514802,-9.136166678,-0.03180062
-3.24167346,-9.15642685,-0.031704372
-3.231832117,-9.176687022,-0.031608124
-3.221990775,-9.196947194,-0.031511876
-3.212149432,-9.217207367,-0.031415628
-3.20230809,-9.237467539,-0.03131938
-3.192466747,-9.257727711,-0.031223133
-3.182625404,-9.277987883,-0.031126885
-3.172784062,-9.298248055,-0.031030637
-3.162942719,-9.318508227,-0.030934389
-3.153101377,-9.338768399,-0.030838141
-3.143260034,-9.359028571,-0.030741893
-3.133418692,-9.379288744,-0.030645645
-3.123577349,-9.399548916,-0.030549398
-3.113736007,-9.419809088,-0.03045315
-3.103894664,-9.44006926,-0.030356902
-3.094053322,-9.460329432,-0.030260654
-3.084211979,-9.480589604,-0.030164406
-3.074370637,-9.500849776,-0.030068158
-3.064529294,-9.521109948,-0.02997191
-3.054687952,-9.54137012,-0.029875663
-3.044846609,-9.561630293,-0.029779415
-3.035005267,-9.581890465,-0.029683167
-3.025163924,-9.602150637,-0.029586919
-3.015322582,-9.622410809,-0.029490671
-3.005481239,-9.642670981,-0.029394423
-2.995639897,-9.662931153,-0.029298176
-2.985798554,-9.683191325,-0.029201928
-2.975957212,-9.703451497,-0.02910568
-2.966115869,-9.72371167,-0.029009432
-2.956274527,-9.743971842,-0.028913184
-2.946433184,-9.764232014,-0.028816936
-2.936591842,-9.784492186,-0.028720688
-2.926750499,-9.804752358,-0.028624441
-2.916909157,-9.82501253,-0.028528193
-2.907067814,-9.845272702,-0.028431945
-2.897226472,-9.865532874,-0.028335697
-2.887385129,-9.885793046,-0.028239449
-2.877543787,-9.906053219,-0.028143201
-2.867702444,-9.926313391,-0.028046954
-2.857861102,-9.946573563,-0.027950706
-2.848019759,-9.966833735,-0.027854458
-3.390824096,-8.815641446,-0.03878506
-3.38082832,-8.836318984,-0.038670729
-3.370832543,-8.856996521,-0.038556399
-3.360836767,-8.877674059,-0.038442068
-3.35084099,-8.898351597,-0.038327737
-3.340845214,-8.919029135,-0.038213406
-3.330849437,-8.939706673,-0.038099076
-3.32085366,-8.96038421,-0.037984745
-3.310857884,-8.981061748,-0.037870414
-3.300862107,-9.001739286,-0.037756083
-3.290866331,-9.022416824,-0.037641752
-3.280870554,-9.043094361,-0.037527422
-3.270874778,-9.063771899,-0.037413091
-3.260879001,-9.084449437,-0.03729876
-3.250883225,-9.105126975,-0.037184429
-3.240887448,-9.125804513,-0.037070099
-3.230891671,-9.14648205,-0.036955768
-3.220895895,-9.167159588,-0.036841437
-3.210900118,-9.187837126,-0.036727106
-3.200904342,-9.208514664,-0.036612775
-3.190908565,-9.229192202,-0.036498445
-3.180912789,-9.249869739,-0.036384114
-3.170917012,-9.270547277,-0.036269783
-3.160921235,-9.291224815,-0.036155452
-3.150925459,-9.311902353,-0.036041122
-3.140929682,-9.33257989,-0.035926791
-3.130933906,-9.353257428,-0.03581246
-3.120938129,-9.373934966,-0.035698129
-3.110942353,-9.394612504,-0.035583798
-3.100946576,-9.415290042,-0.035469468
-3.0909508,-9.435967579,-0.035355137
-3.080955023,-9.456645117,-0.035240806
-3.070959246,-9.477322655,-0.035126475
-3.06096347,-9.498000193,-0.035012145
-3.050967693,-9.518677731,-0.034897814
-3.040971917,-9.539355268,-0.034783483
-3.03097614,-9.560032806,-0.034669152
-3.020980364,-9.580710344,-0.034554821
-3.010984587,-9.601387882,-0.034440491
-3.000988811,-9.622065419,-0.03432616
-2.990993034,-9.642742957,-0.034211829
-2.980997257,-9.663420495,-0.034097498
-2.971001481,-9.684098033,-0.033983168
-2.961005704,-9.704775571,-0.033868837
-2.951009928,-9.725453108,-0.033754506
-2.941014151,-9.746130646,-0.033640175
-2.931018375,-9.766808184,-0.033525844
-2.921022598,-9.787485722,-0.033411514
-2.911026821,-9.80816326,-0.033297183
-2.901031045,-9.828840797,-0.033182852
-2.891035268,-9.849518335,-0.033068521
-2.881039492,-9.870195873,-0.032954191
-2.871043715,-9.890873411,-0.03283986
-2.861047939,-9.911550949,-0.032725529
-2.851052162,-9.932228486,-0.032611198
-2.841056386,-9.952906024,-0.032496867
-3.382513253,-8.799018795,-0.044325783
-3.372541976,-8.819745332,-0.044195119
-3.362570699,-8.840471869,-0.044064456
-3.352599422,-8.861198405,-0.043933792
-3.342628145,-8.881924942,-0.043803128
-3.332656867,-8.902651479,-0.043672464
-3.32268559,-8.923378015,-0.043541801
-3.312714313,-8.944104552,-0.043411137
-3.302743036,-8.964831089,-0.043280473
-3.292771759,-8.985557625,-0.043149809
-3.282800482,-9.006284162,-0.043019146
-3.272829205,-9.027010699,-0.042888482
-3.262857928,-9.047737235,-0.042757818
-3.252886651,-9.068463772,-0.042627154
-3.242915373,-9.089190309,-0.042496491
-3.232944096,-9.109916846,-0.042365827
-3.222972819,-9.130643382,-0.042235163
-3.213001542,-9.151369919,-0.042104499
-3.203030265,-9.172096456,-0.041973836
-3.193058988,-9.192822992,-0.041843172
-3.183087711,-9.213549529,-0.041712508
-3.173116434,-9.234276066,-0.041581844
-3.163145157,-9.255002602,-0.041451181
-3.15317388,-9.275729139,-0.041320517
-3.143202602,-9.296455676,-0.041189853
-3.133231325,-9.317182212,-0.041059189
-3.123260048,-9.337908749,-0.040928526
-3.113288771,-9.358635286,-0.040797862
-3.103317494,-9.379361823,-0.040667198
-3.093346217,-9.400088359,-0.040536535
-3.08337494,-9.420814896,-0.040405871
-3.073403663,-9.441541433,-0.040275207
-3.063432386,-9.462267969,-0.040144543
-3.053461108,-9.482994506,-0.04001388
-3.043489831,-9.503721043,-0.039883216
-3.033518554,-9.524447579,-0.039752552
-3.023547277,-9.545174116,-0.039621888
-3.013576,-9.565900653,-0.039491225
-3.003604723,-9.586627189,-0.039360561
-2.993633446,-9.607353726,-0.039229897
-2.983662169,-9.628080263,-0.039099233
-2.973690892,-9.6488068,-0.03896857
-2.963719614,-9.669533336,-0.038837906
-2.953748337,-9.690259873,-0.038707242
-2.94377706,-9.71098641,-0.038576578
-2.933805783,-9.731712946,-0.038445915
-2.923834506,-9.752439483,-0.038315251
-2.913863229,-9.77316602,-0.038184587
-2.903891952,-9.793892556,-0.038053923
-2.893920675,-9.814619093,-0.03792326
-2.883949398,-9.83534563,-0.037792596
-2.87397812,-9.856072166,-0.037661932
-2.864006843,-9.876798703,-0.037531268
-2.854035566,-9.89752524,-0.037400605
-2.844064289,-9.918251777,-0.037269941
-2.834093012,-9.938978313,-0.037139277
-3.37420241,-8.782396145,-0.049866506
-3.364255632,-8.80317168,-0.049719509
-3.354308854,-8.823947216,-0.049572513
-3.344362077,-8.844722751,-0.049425516
-3.334415299,-8.865498287,-0.049278519
-3.324468521,-8.886273823,-0.049131522
-3.314521744,-8.907049358,-0.048984526
-3.304574966,-8.927824894,-0.048837529
-3.294628188,-8.948600429,-0.048690532
-3.284681411,-8.969375965,-0.048543536
-3.274734633,-8.990151501,-0.048396539
-3.264787855,-9.010927036,-0.048249542
-3.254841078,-9.031702572,-0.048102545
-3.2448943,-9.052478107,-0.047955549
-3.234947522,-9.073253643,-0.047808552
-3.225000745,-9.094029179,-0.047661555
-3.215053967,-9.114804714,-0.047514559
-3.205107189,-9.13558025,-0.047367562
-3.195160412,-9.156355785,-0.047220565
-3.185213634,-9.177131321,-0.047073568
-3.175266857,-9.197906857,-0.046926572
-3.165320079,-9.218682392,-0.046779575
-3.155373301,-9.239457928,-0.046632578
-3.145426524,-9.260233463,-0.046485582
-3.135479746,-9.281008999,-0.046338585
-3.125532968,-9.301784535,-0.046191588
-3.115586191,-9.32256007,-0.046044591
-3.105639413,-9.343335606,-0.045897595
-3.095692635,-9.364111141,-0.045750598
-3.085745858,-9.384886677,-0.045603601
-3.07579908,-9.405662212,-0.045456605
-3.065852302,-9.426437748,-0.045309608
-3.055905525,-9.447213284,-0.045162611
-3.045958747,-9.467988819,-0.045015614
-3.036011969,-9.488764355,-0.044868618
-3.026065192,-9.50953989,-0.044721621
-3.016118414,-9.530315426,-0.044574624
-3.006171636,-9.551090962,-0.044427628
-2.996224859,-9.571866497,-0.044280631
-2.986278081,-9.592642033,-0.044133634
-2.976331303,-9.613417568,-0.043986637
-2.966384526,-9.634193104,-0.043839641
-2.956437748,-9.65496864,-0.043692644
-2.94649097,-9.675744175,-0.043545647
-2.936544193,-9.696519711,-0.043398651
-2.926597415,-9.717295246,-0.043251654
-2.916650637,-9.738070782,-0.043104657
-2.90670386,-9.758846318,-0.04295766
-2.896757082,-9.779621853,-0.042810664
-2.886810304,-9.800397389,-0.042663667
-2.876863527,-9.821172924,-0.04251667
-2.866916749,-9.84194846,-0.042369674
-2.856969972,-9.862723996,-0.042222677
-2.847023194,-9.883499531,-0.04207568
-2.837076416,-9.904275067,-0.041928683
-2.827129639,-9.925050602,-0.041781687
-3.365891566,-8.765773494,-0.055407229
-3.355969288,-8.786598028,-0.055243899
-3.34604701,-8.807422563,-0.05508057
-3.336124732,-8.828247097,-0.05491724
-3.326202453,-8.849071632,-0.05475391
-3.316280175,-8.869896166,-0.054590581
-3.306357897,-8.890720701,-0.054427251
-3.296435619,-8.911545235,-0.054263921
-3.286513341,-8.93236977,-0.054100591
-3.276591062,-8.953194304,-0.053937262
-3.266668784,-8.974018839,-0.053773932
-3.256746506,-8.994843373,-0.053610602
-3.246824228,-9.015667908,-0.053447273
-3.23690195,-9.036492442,-0.053283943
-3.226979671,-9.057316977,-0.053120613
-3.217057393,-9.078141512,-0.052957284
-3.207135115,-9.098966046,-0.052793954
-3.197212837,-9.119790581,-0.052630624
-3.187290559,-9.140615115,-0.052467295
-3.17736828,-9.16143965,-0.052303965
-3.167446002,-9.182264184,-0.052140635
-3.157523724,-9.203088719,-0.051977306
-3.147601446,-9.223913253,-0.051813976
-3.137679168,-9.244737788,-0.051650646
-3.127756889,-9.265562322,-0.051487317
-3.117834611,-9.286386857,-0.051323987
-3.107912333,-9.307211391,-0.051160657
-3.097990055,-9.328035926,-0.050997327
-3.088067777,-9.34886046,-0.050833998
-3.078145498,-9.369684995,-0.050670668
-3.06822322,-9.390509529,-0.050507338
-3.058300942,-9.411334064,-0.050344009
-3.048378664,-9.432158598,-0.050180679
-3.038456386,-9.452983133,-0.050017349
-3.028534107,-9.473807667,-0.04985402
-3.018611829,-9.494632202,-0.04969069
-3.008689551,-9.515456736,-0.04952736
-2.998767273,-9.536281271,-0.049364031
-2.988844995,-9.557105805,-0.049200701
-2.978922716,-9.57793034,-0.049037371
-2.969000438,-9.598754874,-0.048874042
-2.95907816,-9.619579409,-0.048710712
-2.949155882,-9.640403943,-0.048547382
-2.939233604,-9.661228478,-0.048384053
-2.929311325,-9.682053012,-0.048220723
-2.919389047,-9.702877547,-0.048057393
-2.909466769,-9.723702081,-0.047894064
-2.899544491,-9.744526616,-0.047730734
-2.889622212,-9.76535115,-0.047567404
-2.879699934,-9.786175685,-0.047404074
-2.869777656,-9.807000219,-0.047240745
-2.859855378,-9.827824754,-0.047077415
-2.8499331,-9.848649288,-0.046914085
-2.840010821,-9.869473823,-0.046750756
-2.830088543,-9.890298357,-0.046587426
-2.820166265,-9.911122892,-0.046424096
-3.357580723,-8.749150843,-0.060947952
-3.347682944,-8.770024377,-0.060768289
-3.337785165,-8.79089791,-0.060588627
-3.327887387,-8.811771444,-0.060408964
-3.317989608,-8.832644977,-0.060229301
-3.308091829,-8.85351851,-0.060049639
-3.29819405,-8.874392044,-0.059869976
-3.288296272,-8.895265577,-0.059690313
-3.278398493,-8.916139111,-0.059510651
-3.268500714,-8.937012644,-0.059330988
-3.258602935,-8.957886177,-0.059151325
-3.248705157,-8.978759711,-0.058971663
-3.238807378,-8.999633244,-0.058792
-3.228909599,-9.020506778,-0.058612337
-3.21901182,-9.041380311,-0.058432675
-3.209114042,-9.062253844,-0.058253012
-3.199216263,-9.083127378,-0.058073349
-3.189318484,-9.104000911,-0.057893687
-3.179420705,-9.124874445,-0.057714024
-3.169522927,-9.145747978,-0.057534361
-3.159625148,-9.166621512,-0.057354699
-3.149727369,-9.187495045,-0.057175036
-3.13982959,-9.208368578,-0.056995373
-3.129931812,-9.229242112,-0.056815711
-3.120034033,-9.250115645,-0.056636048
-3.110136254,-9.270989179,-0.056456386
-3.100238475,-9.291862712,-0.056276723
-3.090340697,-9.312736245,-0.05609706
-3.080442918,-9.333609779,-0.055917398
-3.070545139,-9.354483312,-0.055737735
-3.06064736,-9.375356846,-0.055558072
-3.050749582,-9.396230379,-0.05537841
-3.040851803,-9.417103912,-0.055198747
-3.030954024,-9.437977446,-0.055019084
-3.021056245,-9.458850979,-0.054839422
-3.011158467,-9.479724513,-0.054659759
-3.001260688,-9.500598046,-0.054480096
-2.991362909,-9.521471579,-0.054300434
-2.98146513,-9.542345113,-0.054120771
-2.971567352,-9.563218646,-0.053941108
-2.961669573,-9.58409218,-0.053761446
-2.951771794,-9.604965713,-0.053581783
-2.941874015,-9.625839246,-0.05340212
-2.931976237,-9.64671278,-0.053222458
-2.922078458,-9.667586313,-0.053042795
-2.912180679,-9.688459847,-0.052863133
-2.9022829,-9.70933338,-0.05268347
-2.892385122,-9.730206913,-0.052503807
-2.882487343,-9.751080447,-0.052324145
-2.872589564,-9.77195398,-0.052144482
-2.862691785,-9.792827514,-0.051964819
-2.852794007,-9.813701047,-0.051785157
-2.842896228,-9.834574581,-0.051605494
-2.832998449,-9.855448114,-0.051425831
-2.82310067,-9.876321647,-0.051246169
